id;nom;description
1;partenaire hier quitte à;../fake-data/blob/hipster.txt
2;encore de façon que;../fake-data/blob/hipster.txt
3;coac coac touriste bang;../fake-data/blob/hipster.txt
4;depuis du moment que fort;../fake-data/blob/hipster.txt
5;chut;../fake-data/blob/hipster.txt
6;ramener;../fake-data/blob/hipster.txt
7;foule;../fake-data/blob/hipster.txt
8;membre de l’équipe;../fake-data/blob/hipster.txt
9;fidèle isoler aussi;../fake-data/blob/hipster.txt
10;vétuste touchant;../fake-data/blob/hipster.txt
