id;titre;description;date_echeance;priorite;statut
1;tellement en ha ha;../fake-data/blob/hipster.txt;2024-04-12;HAUTE;OUVERT
2;après;../fake-data/blob/hipster.txt;2024-04-12;MOYENNE;OUVERT
3;lunatique loin de;../fake-data/blob/hipster.txt;2024-04-12;HAUTE;EN_COURS
4;puisque blablabla où;../fake-data/blob/hipster.txt;2024-04-13;BASSE;OUVERT
5;accroître envers;../fake-data/blob/hipster.txt;2024-04-12;BASSE;TERMINE
6;aigre moyennant vouh;../fake-data/blob/hipster.txt;2024-04-13;HAUTE;TERMINE
7;administration population du Québec au moyen de;../fake-data/blob/hipster.txt;2024-04-12;MOYENNE;OUVERT
8;maintenant bien que;../fake-data/blob/hipster.txt;2024-04-13;BASSE;EN_COURS
9;de crainte que personnel professionnel concernant;../fake-data/blob/hipster.txt;2024-04-12;BASSE;OUVERT
10;blême vraisemblablement meuh;../fake-data/blob/hipster.txt;2024-04-13;HAUTE;OUVERT
